                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6499,                 1.0413,                 1.3147,                 2.0078,                 1.4565,                 1.2223,                0.79331,                  0.567,                0.62718,                0.32118,                 1.5056,                0.71307,                 1.1779,                 1.8067,                0.89172,                 1.1408,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.5916,                0.94491,                 1.2593,                 1.9718,                 1.2644,                 1.1948,                0.79614,                0.55581,                0.61867,                0.30162,                  1.576,                0.74411,                 1.2279,                 1.8689,                0.94157,                 1.1763,              0.0065337,              0.0065337,              0.0065337
                      3,                 1.6317,                 1.0075,                 1.2798,                 2.0332,                 1.3468,                 1.2199,                0.79353,                0.53939,                0.59897,                0.30217,                 1.5429,                0.77494,                 1.2241,                 1.8596,                 0.9939,                 1.1905,               0.009603,               0.009603,               0.009603
                      4,                 1.6283,                 1.0168,                 1.2909,                 2.0267,                 1.3682,                 1.2319,                0.80524,                0.55915,                0.62343,                0.32009,                 1.5099,                0.74139,                 1.2085,                 1.8042,                0.95403,                 1.1694,               0.009406,               0.009406,               0.009406
                      5,                 1.5759,                0.95308,                 1.2657,                 1.9667,                 1.2913,                 1.2103,                0.81061,                0.58214,                0.64234,                0.33495,                 1.4662,                0.70027,                 1.1818,                 1.7621,                0.90986,                 1.1473,               0.009406,               0.009406,               0.009406
                      6,                 1.5456,                0.90848,                 1.2481,                  1.931,                 1.2276,                 1.1927,                0.82469,                0.59105,                0.65613,                0.34714,                   1.43,                0.66435,                 1.1804,                  1.719,                0.85616,                 1.1413,               0.009208,               0.009208,               0.009208
                      7,                 1.5118,                0.87571,                 1.2381,                 1.8898,                 1.1827,                 1.1826,                0.81983,                0.59725,                0.66101,                0.35574,                 1.3967,                0.64984,                 1.1723,                 1.6788,                0.85112,                 1.1291,                0.00901,                0.00901,                0.00901
                      8,                  1.497,                0.85697,                 1.2292,                 1.8713,                 1.1611,                 1.1709,                0.82569,                 0.6033,                0.66822,                0.35618,                 1.4234,                0.64404,                 1.1738,                 1.6964,                0.82926,                 1.1297,               0.008812,               0.008812,               0.008812
                      9,                 1.4755,                0.83774,                 1.2181,                 1.8399,                 1.1301,                 1.1656,                0.82558,                0.60938,                0.67334,                0.35849,                 1.4153,                0.63242,                 1.1766,                 1.6852,                0.82701,                 1.1311,               0.008614,               0.008614,               0.008614
                     10,                 1.4731,                 0.8264,                  1.214,                 1.8439,                 1.1124,                 1.1594,                0.83566,                0.61507,                0.68109,                0.36978,                 1.3738,                0.60937,                 1.1471,                  1.646,                0.79606,                 1.1093,               0.008416,               0.008416,               0.008416
                     11,                 1.4521,                0.80395,                 1.2054,                 1.8276,                 1.0889,                 1.1492,                0.83437,                0.61931,                0.68457,                0.37007,                 1.3734,                0.60358,                 1.1557,                  1.647,                0.78717,                  1.112,               0.008218,               0.008218,               0.008218
                     12,                 1.4404,                0.79888,                 1.1941,                 1.8122,                 1.0871,                 1.1397,                0.83935,                0.62071,                0.68849,                0.37263,                 1.3749,                0.59786,                 1.1485,                 1.6438,                0.78698,                 1.1053,                0.00802,                0.00802,                0.00802
                     13,                 1.4316,                0.78566,                  1.195,                 1.7921,                 1.0667,                 1.1427,                0.83658,                 0.6257,                  0.692,                0.37926,                  1.345,                0.58518,                 1.1306,                 1.6146,                0.77213,                 1.0915,               0.007822,               0.007822,               0.007822
                     14,                 1.4337,                0.77877,                 1.1895,                 1.7995,                  1.063,                 1.1343,                0.84217,                0.62971,                0.69611,                0.38147,                 1.3509,                0.58046,                 1.1478,                 1.6173,                0.76073,                 1.1029,               0.007624,               0.007624,               0.007624
                     15,                 1.4167,                0.77086,                 1.1853,                 1.7798,                 1.0477,                 1.1314,                0.84188,                0.63623,                0.70172,                0.38581,                 1.3374,                0.57371,                 1.1352,                 1.6021,                0.75392,                 1.0933,               0.007426,               0.007426,               0.007426
                     16,                 1.4109,                0.76124,                 1.1849,                 1.7678,                 1.0357,                 1.1316,                0.84676,                0.63512,                0.70429,                0.38912,                 1.3232,                0.56607,                 1.1324,                 1.5857,                0.75341,                 1.0911,               0.007228,               0.007228,               0.007228
                     17,                 1.4029,                 0.7587,                  1.181,                 1.7608,                 1.0298,                 1.1287,                0.84546,                0.63993,                0.70698,                0.39114,                  1.319,                0.56319,                 1.1284,                 1.5827,                0.74181,                 1.0872,                0.00703,                0.00703,                0.00703
                     18,                 1.3944,                0.74818,                 1.1759,                 1.7513,                 1.0174,                 1.1233,                0.84559,                0.64101,                0.70853,                0.39316,                 1.3178,                 0.5581,                 1.1298,                 1.5783,                0.73509,                 1.0861,               0.006832,               0.006832,               0.006832
                     19,                 1.3864,                0.73969,                 1.1744,                 1.7421,                 1.0031,                 1.1219,                0.84617,                 0.6451,                0.71137,                0.39674,                 1.3026,                0.55379,                 1.1197,                 1.5641,                0.72589,                 1.0781,               0.006634,               0.006634,               0.006634
                     20,                 1.3857,                0.73871,                 1.1711,                 1.7437,                 1.0037,                 1.1183,                0.84665,                0.64733,                0.71325,                0.39657,                  1.311,                 0.5518,                 1.1261,                 1.5695,                  0.727,                 1.0832,               0.006436,               0.006436,               0.006436
                     21,                 1.3852,                0.73616,                 1.1752,                 1.7415,                 1.0041,                 1.1194,                  0.849,                0.64508,                0.71307,                0.39761,                 1.3011,                0.54932,                 1.1254,                 1.5627,                0.72355,                  1.083,               0.006238,               0.006238,               0.006238
                     22,                 1.3753,                0.73059,                 1.1673,                 1.7293,                0.99408,                 1.1117,                0.84827,                0.64861,                0.71687,                0.40008,                 1.2984,                0.54403,                 1.1188,                 1.5568,                0.71469,                 1.0757,                0.00604,                0.00604,                0.00604
                     23,                 1.3697,                0.72624,                 1.1623,                 1.7209,                0.98774,                 1.1101,                0.85248,                0.64734,                0.71785,                0.40131,                  1.292,                0.53809,                 1.1191,                 1.5526,                0.70664,                 1.0766,               0.005842,               0.005842,               0.005842
                     24,                 1.3623,                 0.7185,                 1.1566,                 1.7124,                0.97713,                 1.1045,                0.85106,                0.65274,                0.72102,                0.40432,                 1.2875,                0.53441,                 1.1154,                 1.5466,                0.70086,                 1.0736,               0.005644,               0.005644,               0.005644
